name ,team,image,
Aayan Afzal Khan,U.A.E.,,
Chirag Suri,U.A.E.,,
Kashif Daud,U.A.E.,,
Zawar Farid,U.A.E.,,
Vikramjit Singh,Netherlands,,
Max O'Dowd,Netherlands,,
Bas de Leede,Netherlands,,
Colin Ackermann,Netherlands,,
Tom Cooper,Netherlands,,
Scott Edwards,Netherlands,,
Roelof van der Merwe,Netherlands,,
Tim Pringle,Netherlands,,
Logan van Beek,Netherlands,,
Fred Klaassen,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324241.png",
Paul van Meekeren,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322644.png",
Kyle Mayers,West Indies,,
Johnson Charles,West Indies,,
Evin Lewis,West Indies,,
Brandon King,West Indies,,
Nicholas Pooran,West Indies,,
Rovman Powell,West Indies,,
Odean Smith,West Indies,,
Obed McCoy,West Indies,,
Akeal Hosein,West Indies,,
Alzarri Joseph,West Indies,,
Jason Holder,West Indies,,
Mohammad Rizwan,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FMohammad%20Rizwan%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Babar Azam,Pakistan,https://nuvuniversity-my.sharepoint.com/:i:/g/personal/chopda_m_parshottambhai_nuv_ac_in/IQDpgQuqQIfSSauTXxzHtNXbATERhM_kiGwU5pukJOeJWMw?e=3s6DEM ,done 
Shan Masood,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FShan%20Masood%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Iftikhar Ahmed,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FIftikhar%20Ahmed%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Shadab Khan,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320467.png",
Haider Ali,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FHaider%20Ali%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Mohammad Nawaz,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FMohammad%20Nawaz%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Asif Ali,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FAsif%20Ali%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Shaheen Shah Afridi,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322250.png",
Haris Rauf,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FHaris%20Rauf%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
KL Rahul,India,,
Rohit Sharma,India,,
Virat Kohli,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png",
Suryakumar Yadav,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331163.png",
Axar Patel,India,,
Hardik Pandya,India,,
Dinesh Karthik,India,,
Ravichandran Ashwin,India,,
Bhuvneshwar Kumar,India,,
Arshdeep Singh,India,,
Mohammed Shami,India,,
Naseem Shah,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322223.png",
Najmul Hossain Shanto,Bangladesh,,
Soumya Sarkar,Bangladesh,,
Litton Das,Bangladesh,,
Shakib Al Hasan,Bangladesh,,
Afif Hossain,Bangladesh,,
Yasir Ali,Bangladesh,,
Nurul Hasan,Bangladesh,,
Mosaddek Hossain,Bangladesh,,
Taskin Ahmed,Bangladesh,,
Hasan Mahmud,Bangladesh,,
Shariz Ahmad,Netherlands,,
Shakib Al Hasan,Bangladesh,,
Mustafizur Rahman,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320467.png",
Fionn Hand,Ireland,,
George Munsey,Scotland,,
Michael Jones,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322400/322444.png",
Matthew Cross,Scotland,,
Richie Berrington,Scotland,,
Calum MacLeod,Scotland,,
Michael Leask,Scotland,,
Chris Greaves,Scotland,,
Shamarh Brooks,West Indies,,
Mark Watt,Scotland,,
Brad Wheal,Scotland,,
Josh Davey,Scotland,,
Safyaan Sharif,Scotland,,
Quinton de Kock,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316668.png",
Temba Bavuma,South Africa,,
Kagiso Rabada,South Africa,,
Wayne Parnell,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316608.png",
Lungi Ngidi,South Africa,,
Keshav Maharaj,South Africa,,
Anrich Nortje,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png",
Timm van der Gugten,Netherlands,,
Finn Allen,New Zealand,,
Devon Conway,New Zealand,,
Kane Williamson,New Zealand,,
Glenn Phillips,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321223.png",
James Neesham,New Zealand,,
Tim David,Australia,,
Matthew Wade,Australia,,
Adam Zampa,Australia,,
Trent Boult,New Zealand,,
Tim Southee,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316596.png",
Mitchell Santner,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319792.png",
Lockie Ferguson,New Zealand,,
Ish Sodhi,New Zealand,,
Aryan Lakra,U.A.E.,,
Stephan Myburgh,Netherlands,,
Brandon Glover,Netherlands,,
Shoriful Islam,Bangladesh,,
Daryl Mitchell,New Zealand,,
Kasun Rajitha,Sri Lanka,,
Deepak Hooda,India,,
Rilee Rossouw,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316651.png",
Aiden Markram,South Africa,,
David Miller,South Africa,,
Tristan Stubbs,South Africa,,
Nasum Ahmed,Bangladesh,,
Mohammad Haris,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322202.png",
Mohammad Wasim,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FMohammad%20Wasim%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Ebadot Hossain,Bangladesh,,
Heinrich Klaasen,South Africa,,
Brad Evans,Zimbabwe,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FBrad%20Evans%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Fakhar Zaman,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FFakhar%20Zaman%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Cameron Green,Australia,,
Steven Smith,Australia,,
Matthew Wade,Australia,,
Kane Richardson,Australia,,
Gulbadin Naib,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FGulbadin%20Naib%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Darwish Rasooli,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FDarwish%20Rasooli%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Naveen-ul-Haq,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FNaveen%2Dul%2DHaq%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Rishabh Pant,India,,
Tony Munyonga,Zimbabwe,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FTony%20Munyonga%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Wellington Masakadza,Zimbabwe,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FWellington%20Masakadza%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Tabraiz Shamsi,South Africa,,
Phil Salt,England,,
Chris Jordan,England,,
Regis Chakabva,Zimbabwe,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FRegis%20Chakabva%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Mehidy Hasan Miraz,Bangladesh,,
